Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii,Medio,Sports,Nintendo,Altissima,Altissima,Medio alto,Alta,Altissima
NES,Muito antigo,Platform,Nintendo,Altissima,Medio alto,Alta,Baixo,Altissima
Wii,Medio,Racing,Nintendo,Altissima,Alta,Medio alto,Medio alto,Altissima
Wii,Medio,Sports,Nintendo,Altissima,Alta,Medio alto,Medio alto,Altissima
GB,Muito antigo,Role-Playing,Nintendo,Alta,Alta,Alta,Baixo,Altissima
GB,Muito antigo,Puzzle,Nintendo,Altissima,Medio,Medio alto,Baixo,Altissima
DS,Medio,Platform,Nintendo,Alta,Alta,Alta,Medio alto,Altissima
Wii,Medio,Misc,Nintendo,Alta,Alta,Medio alto,Medio alto,Altissima
Wii,Medio,Platform,Nintendo,Alta,Alta,Medio alto,Medio,Altissima
NES,Muito antigo,Shooter,Nintendo,Altissima,Baixo,Baixissimo,Baixissimo,Altissima
DS,Antigo,Simulation,Nintendo,Alta,Alta,Medio,Medio alto,Altissima
DS,Antigo,Racing,Nintendo,Alta,Alta,Medio alto,Medio,Altissima
GB,Muito antigo,Role-Playing,Nintendo,Alta,Alta,Alta,Baixo,Altissima
Wii,Medio,Sports,Nintendo,Alta,Alta,Medio alto,Medio,Altissima
Wii,Medio,Sports,Nintendo,Alta,Alta,Medio alto,Medio,Altissima
X360,Medio,Misc,Microsoft Game Studios,Alta,Medio alto,Baixissimo,Medio,Altissima
PS3,Novo,Action,Take-Two Interactive,Alta,Alta,Baixo,Medio alto,Altissima
PS2,Antigo,Action,Take-Two Interactive,Alta,Baixissimo,Baixissimo,Alta,Altissima
SNES,Muito antigo,Platform,Nintendo,Alta,Medio alto,Medio alto,Baixo,Altissima
DS,Antigo,Misc,Nintendo,Medio alto,Alta,Medio alto,Medio,Altissima
DS,Medio,Role-Playing,Nintendo,Alta,Medio alto,Alta,Medio,Alto
GB,Muito antigo,Platform,Nintendo,Alta,Medio alto,Medio alto,Baixissimo,Alto
NES,Muito antigo,Platform,Nintendo,Alta,Medio alto,Medio alto,Baixissimo,Alto
X360,Novo,Action,Take-Two Interactive,Alta,Alta,Baixissimo,Medio,Alto
PS2,Antigo,Action,Take-Two Interactive,Alta,Alta,Baixissimo,Medio,Alto
GBA,Antigo,Role-Playing,Nintendo,Alta,Medio alto,Alta,Baixissimo,Alto
DS,Medio,Role-Playing,Nintendo,Alta,Medio alto,Alta,Baixo,Alto
DS,Antigo,Puzzle,Nintendo,Medio alto,Alta,Alta,Medio,Alto
PS2,Antigo,Racing,Sony Computer Entertainment,Alta,Alta,Medio,Medio,Alto
X360,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
GB,Muito antigo,Role-Playing,Nintendo,Alta,Alta,Medio alto,Baixo,Alto
X360,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
3DS,Novo,Role-Playing,Nintendo,Alta,Medio alto,Medio alto,Baixo,Alto
PS4,Novo,Shooter,Activision,Alta,Alta,Baixissimo,Medio,Alto
PS3,Medio,Shooter,Activision,Medio alto,Alta,Baixo,Medio alto,Alto
X360,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
X360,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
PS3,Medio,Shooter,Activision,Alta,Alta,Baixissimo,Medio,Alto
PS2,Antigo,Action,Take-Two Interactive,Alta,Medio alto,Baixissimo,Medio,Alto
Wii,Medio,Fighting,Nintendo,Alta,Medio alto,Medio alto,Medio,Alto
PS3,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
DS,Antigo,Simulation,Nintendo,Medio alto,Medio alto,Alta,Baixo,Alto
3DS,Medio,Racing,Nintendo,Medio alto,Medio alto,Medio alto,Baixo,Alto
X360,Medio,Shooter,Microsoft Game Studios,Alta,Medio alto,Baixissimo,Medio,Alto
PS4,Novo,Action,Take-Two Interactive,Medio alto,Alta,Baixissimo,Medio,Alto
DS,Medio,Action,Nintendo,Medio alto,Medio alto,Medio alto,Baixo,Alto
N64,Muito antigo,Platform,Nintendo,Alta,Medio alto,Medio,Baixissimo,Alto
PS2,Antigo,Racing,Sony Computer Entertainment,Medio alto,Baixissimo,Medio,Alta,Alto
Wii,Medio,Platform,Nintendo,Alta,Medio alto,Medio,Baixo,Alto
3DS,Novo,Role-Playing,Nintendo,Medio alto,Medio alto,Medio alto,Baixo,Alto
GB,Muito antigo,Adventure,Nintendo,Alta,Medio,Medio alto,Baixissimo,Alto
